kepid,probability,tier
11152511,0.9007551,High
10089911,0.90069735,High
5903749,0.9002528,High
5511659,0.89970905,High
8874090,0.8983553,High
7663405,0.8972677,High
8813698,0.8970578,High
7100673,0.89689636,High
11967788,0.8967943,High
6955671,0.89560664,High
10000941,0.8935447,High
8241079,0.8934925,High
4474462,0.8933731,High
11462341,0.89329726,High
9947389,0.8930834,High
6357290,0.8922932,High
6776555,0.8920578,High
6441738,0.89050806,High
12110901,0.89037365,High
6949898,0.89010805,High
9283156,0.8884782,High
9712350,0.88763726,High
10812541,0.88594055,High
3097926,0.8858908,High
5008245,0.8858528,High
4830605,0.8842551,High
11013201,0.8836727,High
8259713,0.88322884,High
11125797,0.8832162,High
8890924,0.88315815,High
7199397,0.88297886,High
8280511,0.88283974,High
9389245,0.8824031,High
5629353,0.88158727,High
11716643,0.8808532,High
9966219,0.8791113,High
5552562,0.87903017,High
5613821,0.87735933,High
7899070,0.8772333,High
7772914,0.8769653,High
7289139,0.8765132,High
4247991,0.8764933,High
4367854,0.874887,High
11026582,0.8744689,High
10554421,0.8739252,High
6140059,0.8715333,High
8892157,0.8708968,High
7539277,0.87031126,High
10064591,0.86968297,High
9330740,0.8695336,High
6209677,0.8694834,High
9772531,0.8668285,High
9828127,0.8646143,High
4918309,0.86415195,High
7501646,0.86386234,High
7256914,0.8638198,High
11030475,0.86313313,High
10867062,0.8630271,High
8613535,0.86229175,High
12256520,0.861487,High
1431122,0.86033183,High
6359926,0.8586004,High
9491832,0.8562247,High
7191523,0.8561792,High
10198662,0.85604507,High
11124436,0.85476017,High
9221528,0.854748,High
5385410,0.85473067,High
9815053,0.8540217,High
5255259,0.8533427,High
8546542,0.8531349,High
9883606,0.852389,High
5730445,0.85216135,High
3848966,0.85141796,High
11968463,0.8500228,High
10552151,0.8491943,High
9334893,0.8486976,High
7199906,0.8477574,High
10395543,0.84664714,High
11074835,0.84538275,High
4939265,0.8452299,High
3645438,0.84467316,High
5710069,0.84462154,High
11073656,0.84352314,High
8804455,0.8428972,High
8636539,0.8418426,High
5431027,0.84022737,High
6276791,0.83968943,High
11922778,0.83950764,High
5457326,0.8373827,High
8773015,0.8355614,High
7812990,0.8355261,High
8894646,0.8324529,High
11870545,0.8322362,High
8018547,0.83160734,High
11350118,0.8297126,High
4773392,0.8261246,High
8631751,0.8257226,High
7833305,0.82543963,High
10865043,0.8244246,High
9697131,0.82243365,High
7748487,0.82219976,High
6144039,0.82096815,High
3752110,0.8198759,High
11298442,0.8181954,High
7296438,0.8166447,High
7770901,0.8157436,High
4851530,0.8155607,High
8282651,0.8141432,High
7750419,0.8133486,High
9727765,0.8129094,High
10414727,0.8115106,High
5531953,0.8104683,High
1721157,0.8089203,High
11296045,0.8087026,High
6200810,0.80846477,High
3101923,0.8054169,High
11046723,0.8051028,High
8240790,0.8034946,High
9700449,0.8032851,High
4919550,0.80297464,High
3534076,0.8025688,High
7631138,0.80127853,High
8644911,0.7996971,High
8125917,0.7977165,High
6369131,0.796136,High
4172805,0.7946085,High
4047631,0.79421115,High
6523351,0.79275596,High
11652427,0.79239255,High
11818566,0.7911937,High
6347890,0.79071116,High
4249611,0.7884088,High
11966643,0.7876137,High
7517261,0.78286266,High
10843431,0.7823786,High
8905246,0.7806092,High
7767781,0.77903223,High
